id,course_code,cl_no,course_name,cl_day,cl_start,cl_end,cl_room,lecturer
75,CCBS 4011,02,Global Business and Trade,1,10:00,12:50,CIT 806,
76,CCBS 4014,01,Economics of Public Issues,1,08:30,11:20,CIT 805,
77,CCBS 4015,01,Strategic Brand Management,1,08:30,11:20,CIT 803,
78,CCBS 4015,02,Strategic Brand Management,2,08:30,11:20,CIT 1005,
79,CCBS 4015,03,Strategic Brand Management,4,13:00,15:50,KEC 608,
80,CCBS 4015,04,Strategic Brand Management,5,13:00,15:50,KEC 608,
81,CCBS 4017,01,Principles of Auditing,5,08:30,11:20,CIT 802,
82,CCBS 4017,02,Principles of Auditing,1,08:30,11:20,CIT 804,
83,CCBS 4019,01,Economics and the Society,4,10:00,12:50,KEC 609,
84,CCBS 4019,02,Economics and the Society,5,14:30,17:20,KEC 906,
85,CCBS 4019,03,Economics and the Society,2,11:30,14:20,KEC 907,
86,CCBS 5005,01,Principles of Organizational Behaviour,3,14:30,17:20,CIT 1006,
87,CCBS 5007,01,Investments and Portfolio Management,2,11:30,14:20,CIT 804,
88,CCBS 5007,02,Investments and Portfolio Management,1,13:00,15:50,CIT 804,
89,CCCH 3001,05,Foundations of Chinese Language,5,14:30,17:20,KEC 604,
90,CCCH 3001,06,Foundations of Chinese Language,5,10:00,12:50,KEC 906,
91,CCCH 4002,01,Advanced Chinese for Business and Commerce,5,14:30,17:20,KEC 809,
92,CCCH 4003,27,Advanced Chinese Language,6,10:00,12:50,KEC 505,
93,CCCH 4003,28,Advanced Chinese Language,3,08:30,11:20,KEC 702,
94,CCCH 4003,29,Advanced Chinese Language,1,10:00,12:50,KEC 707,
95,CCCH 4003,30,Advanced Chinese Language,6,10:00,12:50,KEC 706,
96,CCCH 4003,31,Advanced Chinese Language,6,10:00,12:50,KEC 702,
97,CCCH 4003,32,Advanced Chinese Language,2,08:30,11:20,KEC 906,
98,CCCH 4003,33,Advanced Chinese Language,4,10:00,12:50,KEC 503,
99,CCCH 4003,34,Advanced Chinese Language,1,08:30,11:20,KEC 907,
100,CCCH 4003,35,Advanced Chinese Language,4,14:30,17:20,KEC 505,
101,CCCH 4003,36,Advanced Chinese Language,4,10:00,12:50,KEC 907,
102,CCCH 4003,37,Advanced Chinese Language,2,08:30,11:20,KEC 809,
103,CCCH 4003,38,Advanced Chinese Language,5,08:30,11:20,KEC 809,
104,CCCH 4003,39,Advanced Chinese Language,2,11:30,14:20,KEC 809,
105,CCCH 4003,40,Advanced Chinese Language,3,14:30,17:20,KEC 711,
106,CCCH 4003,41,Advanced Chinese Language,6,08:30,11:20,KEC 510,
107,CCCH 4003,42,Advanced Chinese Language,3,14:30,17:20,KEC 505,
108,CCCH 4003,43,Advanced Chinese Language,2,08:30,11:20,KEC 907,
109,CCCH 4003,44,Advanced Chinese Language,1,10:00,12:50,KEC 906,
110,CCCH 4003,45,Advanced Chinese Language,2,11:30,14:20,KEC 906,
111,CCCH 4003,46,Advanced Chinese Language,5,14:30,17:20,CIT 805,
112,CCCH 4003,47,Advanced Chinese Language,5,08:30,11:20,CIT 801,
113,CCCH 4003,48,Advanced Chinese Language,5,10:00,12:50,CIT 806,
114,CCCH 4003,49,Advanced Chinese Language,4,08:30,11:20,CIT 1007,
115,CCCH 4004,02,Advanced Putonghua,1,13:00,15:50,KEC 809,
116,CCCH 4005,02,Classical Chinese Language,4,08:30,11:20,KEC 505,
117,CCCH 4006,02,Grammar and Rhetoric in Modern Chinese Language,4,14:30,17:20,KEC 606,
118,CCCH 4007,02,Introduction to Chinese Literary Criticism,3,14:30,17:20,KEC 907,
119,CCCH 4008,04,Introduction to Chinese Literature,5,14:30,17:20,KEC 907,
120,CCCH 4008,05,Introduction to Chinese Literature,4,13:00,15:50,KEC 808,
121,CCCH 4009,02,Introduction to Modern Chinese Literature,3,10:00,12:50,KEC 906,
122,CCCH 4010,02,Introduction to Translation,1,08:30,09:50,KEC 906,
123,CCCH 4010,02,Introduction to Translation,5,08:30,09:50,KEC 504,
124,CCCH 4011,02,Modern Chinese Language,3,10:00,12:50,KEC 609,
125,CCCH 4012,01,Practical Chinese,1,14:30,17:20,KEC 808,
126,CCCH 4012,02,Practical Chinese,2,10:00,12:50,KEC 808,
127,CCCH 4013,05,Reading and Writing in Chinese,1,13:00,15:50,KEC 505,
128,CCCH 4013,06,Reading and Writing in Chinese,2,14:30,17:20,KEC 707,
129,CCCH 4013,07,Reading and Writing in Chinese,3,13:00,15:50,KEC 906,
